grievance_text,predicted_probability,severity
wifi down what is this since long time bhai,0.99999857,High
keeps dropping from last night since long time yaar,1.91E-06,Low
wifi down again yaar,0.99999857,High
packet loss happening kya ho raha hai,1.91E-06,Low
packet loss happening not resolved yet,1.92E-06,Low
unstable connection pls fix yaar,2.08E-06,Low
please check keeps dropping what is this kya ho raha hai,2.01E-06,Low
router not working from last night since long time,1.96E-06,Low
please check dns not resolving,2.10E-06,Low
having wifi down continuously kya ho raha hai,0.99999857,High
facing wifi down bhai,0.99999857,High
please check facing dns not resolving bhai,2.20E-06,Low
please check ping too high pls fix yaar,2.00E-06,Low
ping too high pls fix since long time yaar,1.91E-06,Low
internet not working what is this since long time yaar,0.99999857,High
speed is low since morning since long time bhai,1.92E-06,Low
having ping too high continuously yaar,1.96E-06,Low
internet not working from last night,0.99999857,High
facing delay in response since long time kya ho raha hai,1.96E-06,Low
data loss problem kya ho raha hai,1.93E-06,Low
connection gone what is this since long time kya ho raha hai,0.99999857,High
router problem since morning since long time yaar,1.90E-06,Low
packet loss happening again since long time,1.91E-06,Low
having buffering issue continuously,1.97E-06,Low
wifi very slow not resolved yet since long time,3.08E-06,Low
facing wifi down yaar,0.99999857,High
still lag issue kya ho raha hai,1.97E-06,Low
please check internet very slow what is this,2.61E-06,Low
speed is low not resolved yet,1.93E-06,Low
having no connection continuously,0.99999845,High
unstable connection since morning since long time bhai,1.98E-06,Low
facing delay in response since long time kya ho raha hai,1.96E-06,Low
please check facing router not working bhai,2.32E-06,Low
having unstable connection continuously,2.06E-06,Low
facing speed is low since long time kya masla hai,1.96E-06,Low
router not working what is this bhai,1.95E-06,Low
wifi not wrkng what is this,0.99999857,High
unstable connection since morning yaar,2.00E-06,Low
please check net very slow yaar,2.11E-06,Low
still data loss trouble bhai,1.98E-06,Low
net not working again yaar,0.99999845,High
still speed is low kya ho raha hai,1.98E-06,Low
facing wifi down since long time kya ho raha hai,0.99999857,High
please check speed is low pls fix yaar,2.02E-06,Low
connection not working since morning since long time kya ho raha hai,0.99999857,High
no connection since morning since long time yaar,0.99999857,High
facing packet loss happening,1.97E-06,Low
please check buffering issue what is this bhai,2.00E-06,Low
router problem again since long time bhai,1.90E-06,Low
no connection what is this pls fix,0.99999857,High
please check still disconnecting again and again bhai,2.09E-06,Low
please check still wifi down yaar,0.99999845,High
keeps dropping since morning yaar,1.91E-06,Low
having internet very lagging continuously yaar,2.71E-06,Low
internet not working pls fix,0.99999857,High
please check net slow what is this yaar,2.22E-06,Low
packet loss happening from last night since long time kya ho raha hai,1.92E-06,Low
having cannot access sites continuously yaar,1.96E-06,Low
connection very slow not resolved yet,2.14E-06,Low
data loss issue since long time bhai,1.93E-06,Low
please check net slow what is this,2.21E-06,Low
unstable connection what is this,1.98E-06,Low
cannot access sites since morning since long time yaar,1.91E-06,Low
please check disconnecting again and again yaar,2.01E-06,Low
router problem from last night since long time kya ho raha hai,1.91E-06,Low
still net too slow since long time bhai,2.04E-06,Low
internet very slow yaar,2.39E-06,Low
having router problem continuously kya ho raha hai,1.96E-06,Low
please check data loss issue not resolved yet bhai,2.01E-06,Low
keeps dropping what is this yaar,1.91E-06,Low
internet not working pls fix since long time bhai,0.99999857,High
having speed is low continuously yaar,1.96E-06,Low
please check still packet loss happening bhai,2.06E-06,Low
ping too high since morning,1.92E-06,Low
please check data loss issue from last night,2.00E-06,Low
lag issue not resolved yet since long time bhai,1.91E-06,Low
please check still router not running kya ho raha hai,2.25E-06,Low
net slow what is this,2.04E-06,Low
having dns not resolving continuously since long time yaar,1.99E-06,Low
speed is low,1.94E-06,Low
still ping too high since long time kya masla hai,1.97E-06,Low
keeps dropping pls fix bhai,1.91E-06,Low
still net gone bhai,0.99999845,High
router not working bhai,1.97E-06,Low
dns not resolving pls fix since long time yaar,1.94E-06,Low
please check wifi down from last night bhai,0.99999845,High
please check wifi down from last night kya ho raha hai,0.99999845,High
unstable connection not resolved yet yaar,2.02E-06,Low
please check still cannot access sites bhai,2.08E-06,Low
internet very very slow from last night since long time kya ho raha hai,2.20E-06,Low
cannot access sites kya ho raha hai,1.91E-06,Low
no connection,0.99999857,High
no connection,0.99999857,High
no connection pls fix kya ho raha hai,0.99999857,High
facing no connection,0.99999857,High
still packet loss happening since long time,1.97E-06,Low
delay in response since long time kya masla hai,1.92E-06,Low
router problem what is this,1.91E-06,Low
unstable connection from last night yaar,2.00E-06,Low
please check facing speed is low bhai,2.10E-06,Low
having net too slow continuously,2.02E-06,Low
internet not working what is this yaar,0.99999857,High
router not working pls fix kya ho raha hai,2.00E-06,Low
please check facing ping too high kya ho raha hai,2.07E-06,Low
keeps dropping what is this bhai,1.91E-06,Low
net gone since morning since long time yaar,0.99999857,High
keeps dropping yaar,1.93E-06,Low
net gone since morning kya masla hai,0.99999857,High
keeps dropping what is this bhai,1.91E-06,Low
router not running since morning since long time yaar,1.92E-06,Low
facing unstable connection since long time kya ho raha hai,2.07E-06,Low
data loss issue not resolved yet kya ho raha hai,1.93E-06,Low
data loss problem not resolved yet yaar,1.93E-06,Low
internet very lagging since morning,2.96E-06,Low
facing ping too high since long time bhai,1.95E-06,Low
please check net very slow what is this,2.10E-06,Low
please check net too slow pls fix kya ho raha hai,2.15E-06,Low
still internet very slow since long time,2.36E-06,Low
please check buffering trouble again kya ho raha hai,2.01E-06,Low
router not functioning since long time bhai,1.93E-06,Low
please check dns not resolving pls fix,2.11E-06,Low
no connection since long time,0.99999857,High
router not running from last night,1.93E-06,Low
ping too high what is this since long time kya ho raha hai,1.92E-06,Low
please check still no connection bhai,0.99999845,High
having wifi down continuously kya ho raha hai,0.99999857,High
please check delay in response,2.01E-06,Low
wifi down pls fix,0.99999857,High
please check keeps dropping again kya ho raha hai,2.01E-06,Low
still no connection since long time,0.99999857,High
net too slow yaar,2.02E-06,Low
unstable connection from last night yaar,2.00E-06,Low
facing connection not working since long time,0.99999845,High
no connection pls fix yaar,0.99999857,High
speed is low bhai,1.93E-06,Low
wifi down since morning since long time kya masla hai,0.99999857,High
having speed is low continuously since long time,1.96E-06,Low
facing router problem,1.97E-06,Low
lag issue since morning,1.91E-06,Low
internet very very slow since morning kya ho raha hai,2.20E-06,Low
please check wifi down what is this bhai,0.99999845,High
internet gone not resolved yet bhai,0.99999857,High
delay in response from last night since long time,1.92E-06,Low
having wifi down continuously since long time kya masla hai,0.99999857,High
disconnecting again and again what is this since long time bhai,1.90E-06,Low
please check net slow bhai,2.23E-06,Low
speed is low pls fix since long time,1.92E-06,Low
still cannot access sites since long time kya masla hai,1.97E-06,Low
net slow what is this kya masla hai,2.04E-06,Low
internet very slow since morning since long time bhai,2.32E-06,Low
please check data loss problem from last night,2.00E-06,Low
lag issue,1.94E-06,Low
still net lagging kya ho raha hai,2.81E-06,Low
please check packet loss happening since morning kya ho raha hai,2.00E-06,Low
please check ping too high what is this bhai,2.00E-06,Low
intrnet very lagging pls fix,2.13E-06,Low
still disconnecting again and again kya ho raha hai,1.96E-06,Low
having disconnecting again and again continuously,1.95E-06,Low
having delay in response continuously yaar,1.96E-06,Low
no connection since morning kya ho raha hai,0.99999857,High
please check keeps dropping again,2.01E-06,Low
please check unstable connection not resolved yet kya ho raha hai,2.33E-06,Low
having unstable connection continuously bhai,2.05E-06,Low
please check speed is low since morning kya ho raha hai,2.02E-06,Low
data loss problem from last night since long time,1.93E-06,Low
buffering issue bhai,1.93E-06,Low
lag problem again since long time kya ho raha hai,1.90E-06,Low
internet very slow from last night since long time,2.33E-06,Low
data loss problem again since long time bhai,1.92E-06,Low
router problem again since long time yaar,1.90E-06,Low
connection very slow since long time,2.11E-06,Low
cannot access sites again,1.92E-06,Low
net lagging not resolved yet since long time yaar,2.44E-06,Low
having router not running continuously since long time yaar,1.98E-06,Low
net slow what is this since long time bhai,2.03E-06,Low
please check wifi down since morning bhai,0.99999845,High
lag trouble not resolved yet kya ho raha hai,1.91E-06,Low
no connection from last night since long time bhai,0.99999857,High
please check speed is low pls fix,2.02E-06,Low
net gone not resolved yet since long time bhai,0.99999857,High
please check cannot access sites what is this kya ho raha hai,2.01E-06,Low
unstable connection from last night kya ho raha hai,2.01E-06,Low
please check router problem since morning bhai,1.99E-06,Low
speed is low not resolved yet since long time,1.92E-06,Low
having net not wrkng continuously yaar,0.99999845,High
speed is low since morning,1.92E-06,Low
please check still speed is low kya masla hai,2.11E-06,Low
please check buffering trouble since morning bhai,2.01E-06,Low
facing speed is low bhai,1.97E-06,Low
having data loss trouble continuously,1.97E-06,Low
lag trouble pls fix bhai,1.91E-06,Low
please check net gone pls fix bhai,0.99999845,High
please check speed is low what is this bhai,2.02E-06,Low
packet loss happening since morning kya ho raha hai,1.91E-06,Low
please check disconnecting again and again pls fix yaar,2.01E-06,Low
dns not resolving not resolved yet yaar,1.95E-06,Low
disconnecting again and again since morning kya ho raha hai,1.90E-06,Low
please check packet loss happening not resolved yet bhai,2.00E-06,Low
router not working what is this yaar,1.96E-06,Low
please check router not working again yaar,2.20E-06,Low
please check still unstable connection,2.40E-06,Low
dns not resolving again kya ho raha hai,1.94E-06,Low
